title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,material,dimensions,trove_category,trove_record_type,trove_id,trove_url
ARMENIAN ATROCITIES APPEAL TO AMERICA. TO ASK GERMANY TO INTERVENE,1915-09-23,,"LONDON, Tuesday, 11.25 p.m.—Viscount Bryce, formerly American Ambassador to the United States, is appealing to America to assist in",https://nla.gov.au/nla.news-article64606533?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,64606533,https://nla.gov.au/nla.news-article64606533?searchTerm=%22Armenian+Genocide%22
ARMENIAN MASSACRE.,1918-03-12,,"A Petrograd message states that the Turks have massacred the remaining population of Trebizon, in Asia Minor Many were incinerated. A number of",https://nla.gov.au/nla.news-article115779752?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,115779752,https://nla.gov.au/nla.news-article115779752?searchTerm=%22Armenian+Genocide%22
MASSACRES IN ARMENIA. AMSTERDAM. May 23.,1915-05-29,,"The Turkish Government, maddened at the prospect of the triumph of the Allies in the Dardanelles, blame the Armehians for the disastrous war into which they",https://nla.gov.au/nla.news-article89145865?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,89145865,https://nla.gov.au/nla.news-article89145865?searchTerm=%22Armenian+Genocide%22
"ARMENIAN HORRORS. INHABITANTS OF TEN VILLAGES MASSACRED. LONDON, Tuesday.",1915-04-28,,It is reported that the inhabitants of ten villages in Armenia have been massacred.,https://nla.gov.au/nla.news-article141936643?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,141936643,https://nla.gov.au/nla.news-article141936643?searchTerm=%22Armenian+Genocide%22
WAR ITEMS. TRIBUTES TO THE CANADIANS. LONDON AFLAME WITH ENTHUSIASM. GREECE READY FOR ACTION. SEMI-REVOLUTION IN AUSTRIA. MASSACRES OF ARMENIAN CHRISTIANS. FATE OF SINGAPORE MUTINEERS.,1915-04-28,,"The following war items have been transmitted by the Independent Cable Service:— London, Monday.",https://nla.gov.au/nla.news-article45324077?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,45324077,https://nla.gov.au/nla.news-article45324077?searchTerm=%22Armenian+Genocide%22
"Armenian Massacres. PARIS, May 23.",1915-05-29,,"The Porte, maddened by the prospect of the triumph of the Allies, blames the Armenians for the present disastrous war, and hence the massacres in Armenia",https://nla.gov.au/nla.news-article22297460?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,22297460,https://nla.gov.au/nla.news-article22297460?searchTerm=%22Armenian+Genocide%22
TURKISH CAMPAIGN. MASSACRES OF ARMENIANS. LONDON. May 23.,1915-05-29,,"The Government Press Burean states that the British, French, and Russian governments announce that for months past the Kurds and Turkish troops have",https://nla.gov.au/nla.news-article69392120?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,69392120,https://nla.gov.au/nla.news-article69392120?searchTerm=%22Armenian+Genocide%22
THE ARMENIANS. BUTCHERED BY FURKS. LORD BRYCE'S INQUIRIES.,1915-11-29,,"Lord Bryce, in a letter to the newspapers, says the latest evidence of atrocities in northern and eastern Anatolia confirms with dreadful certainty the [?]rrihle story.",https://nla.gov.au/nla.news-article15627641?searchTerm=%22Armenian+Genocide%22,,,,newspaper,article,15627641,https://nla.gov.au/nla.news-article15627641?searchTerm=%22Armenian+Genocide%22
ALSO DEPORTED YOUNG ARMENIAN,1923-07-17,,"Joseph Arteen (21), an Armen[?]n, was also deported with the envoys. He was sent to gaol recently for obtaining money by false pretences, and cen[?]e was",https://nla.gov.au/nla.news-article218212531?searchTerm=armenian+AND+%28deportation+OR+deportations+OR+deported+OR+%22death+march%22%29,,,,newspaper,article,218212531,https://nla.gov.au/nla.news-article218212531?searchTerm=armenian+AND+%28deportation+OR+deportations+OR+deported+OR+%22death+march%22%29
"ARMENIAN ATROCITIES. EXTENT OF MASSACRES AND DEPORTATIONS. LONDON, February 25.",1917-02-27,,"The Rt. Hon. A. J. Balfour (Secretary of State for Foreign Affairs), in a letter to the American Committee for Armenian Relief, says it is",https://nla.gov.au/nla.news-article1065558?searchTerm=armenian+AND+%28deportation+OR+deportations+OR+deported+OR+%22death+march%22%29,,,,newspaper,article,1065558,https://nla.gov.au/nla.news-article1065558?searchTerm=armenian+AND+%28deportation+OR+deportations+OR+deported+OR+%22death+march%22%29
